iter	Passed	Remaining
0	15	7550
1	26	6682
2	40	6642
3	51	6433
4	63	6317
5	74	6150
6	83	5882
7	94	5835
8	106	5813
9	108	5302
10	120	5348
11	131	5353
12	146	5482
13	152	5301
14	164	5312
15	179	5440
16	186	5284
17	194	5200
18	203	5162
19	212	5110
20	222	5066
21	237	5164
22	261	5428
23	274	5450
24	291	5532
25	306	5591
26	324	5691
27	343	5795
28	362	5888
29	377	5920
30	395	5981
31	402	5881
32	408	5787
33	415	5698
34	423	5621
35	429	5540
36	437	5475
37	447	5444
38	454	5377
39	460	5296
40	466	5226
41	472	5155
42	478	5084
43	484	5016
44	489	4952
45	495	4893
46	501	4833
47	507	4775
48	513	4722
49	518	4669
50	524	4615
51	529	4563
52	535	4514
53	540	4467
54	546	4422
55	552	4381
56	558	4340
57	564	4302
58	572	4277
59	578	4238
60	583	4200
61	589	4166
62	591	4103
63	597	4068
64	603	4038
65	609	4007
66	615	3974
67	620	3943
68	626	3914
69	632	3884
70	638	3858
71	644	3830
72	649	3800
73	655	3772
74	661	3746
75	666	3719
76	673	3697
77	678	3672
78	684	3648
79	690	3624
80	696	3600
81	701	3578
82	707	3556
83	716	3549
84	718	3509
85	724	3488
86	730	3468
87	736	3448
88	742	3431
89	748	3410
90	754	3390
91	760	3373
92	766	3355
93	772	3336
94	778	3317
95	781	3288
96	786	3269
97	792	3249
98	798	3232
99	804	3216
100	809	3198
101	816	3186
102	822	3169
103	827	3152
104	833	3135
105	839	3118
106	845	3103
107	850	3087
108	856	3072
109	862	3058
110	868	3044
111	874	3030
112	880	3015
113	886	3000
114	891	2985
115	897	2970
116	902	2955
117	908	2940
118	913	2926
119	919	2911
120	925	2897
121	930	2883
122	936	2868
123	941	2855
124	947	2842
125	952	2828
126	958	2814
127	963	2800
128	969	2787
129	974	2774
130	980	2763
131	986	2750
132	992	2737
133	997	2725
134	1003	2712
135	1009	2701
136	1015	2690
137	1021	2679
138	1027	2668
139	1033	2656
140	1038	2644
141	1044	2633
142	1049	2620
143	1055	2609
144	1061	2597
145	1066	2585
146	1071	2573
147	1077	2562
148	1083	2551
149	1088	2540
150	1094	2529
151	1099	2517
152	1105	2506
153	1110	2495
154	1116	2484
155	1122	2474
156	1127	2463
157	1132	2452
158	1138	2441
159	1144	2432
160	1149	2421
161	1155	2411
162	1161	2401
163	1167	2391
164	1173	2382
165	1179	2374
166	1185	2363
167	1190	2353
168	1196	2342
169	1204	2337
170	1212	2332
171	1219	2324
172	1231	2327
173	1240	2324
174	1247	2316
175	1252	2306
176	1258	2296
177	1264	2287
178	1269	2277
179	1275	2267
180	1281	2257
181	1291	2257
182	1301	2255
183	1307	2245
184	1312	2235
185	1318	2225
186	1324	2216
187	1329	2206
188	1335	2198
189	1341	2188
190	1347	2180
191	1353	2171
192	1359	2162
193	1364	2152
194	1371	2144
195	1376	2134
196	1382	2125
197	1387	2116
198	1393	2107
199	1398	2098
200	1405	2091
201	1411	2082
202	1417	2073
203	1422	2064
204	1428	2056
205	1434	2047
206	1439	2038
207	1445	2028
208	1450	2020
209	1456	2011
210	1461	2002
211	1467	1993
212	1472	1984
213	1478	1975
214	1483	1966
215	1489	1958
216	1494	1949
217	1500	1940
218	1505	1931
219	1509	1921
220	1515	1913
221	1521	1905
222	1526	1896
223	1532	1888
224	1538	1879
225	1543	1871
226	1548	1862
227	1554	1854
228	1559	1846
229	1565	1837
230	1570	1829
231	1576	1820
232	1581	1812
233	1587	1804
234	1593	1796
235	1599	1788
236	1604	1780
237	1609	1772
238	1615	1764
239	1621	1756
240	1627	1748
241	1632	1740
242	1638	1732
243	1644	1725
244	1650	1717
245	1655	1709
246	1661	1701
247	1666	1693
248	1672	1686
249	1678	1678
250	1683	1670
251	1689	1662
252	1694	1654
253	1700	1646
254	1705	1638
255	1711	1631
256	1717	1623
257	1722	1616
258	1728	1608
259	1734	1600
260	1739	1592
261	1745	1585
262	1751	1577
263	1756	1570
264	1762	1562
265	1768	1555
266	1773	1547
267	1774	1536
268	1780	1528
269	1785	1521
270	1791	1513
271	1796	1505
272	1801	1498
273	1807	1490
274	1812	1483
275	1818	1475
276	1823	1468
277	1829	1460
278	1835	1453
279	1840	1445
280	1845	1438
281	1851	1431
282	1857	1424
283	1863	1417
284	1869	1409
285	1874	1402
286	1879	1395
287	1885	1387
288	1890	1380
289	1896	1373
290	1901	1365
291	1907	1358
292	1912	1351
293	1918	1343
294	1923	1336
295	1929	1329
296	1934	1322
297	1940	1315
298	1947	1309
299	1954	1302
300	1960	1295
301	1965	1288
302	1971	1281
303	1977	1274
304	1982	1267
305	1988	1260
306	1994	1253
307	1999	1246
308	2005	1239
309	2014	1234
310	2020	1227
311	2028	1222
312	2036	1216
313	2042	1210
314	2048	1202
315	2053	1195
316	2059	1188
317	2065	1181
318	2070	1175
319	2076	1167
320	2081	1160
321	2082	1151
322	2088	1144
323	2094	1137
324	2100	1131
325	2106	1124
326	2111	1117
327	2120	1111
328	2126	1105
329	2131	1098
330	2137	1091
331	2142	1084
332	2148	1077
333	2154	1070
334	2160	1063
335	2166	1057
336	2172	1050
337	2178	1044
338	2193	1041
339	2206	1038
340	2218	1034
341	2228	1029
342	2239	1024
343	2249	1019
344	2255	1013
345	2261	1006
346	2266	999
347	2273	992
348	2279	986
349	2284	979
350	2289	972
351	2295	965
352	2300	958
353	2306	951
354	2311	944
355	2317	937
356	2322	930
357	2328	923
358	2333	916
359	2339	909
360	2345	903
361	2350	896
362	2356	889
363	2362	882
364	2367	875
365	2373	869
366	2379	862
367	2385	855
368	2390	848
369	2396	841
370	2402	835
371	2407	828
372	2413	821
373	2418	814
374	2424	808
375	2429	801
376	2435	794
377	2441	787
378	2447	781
379	2453	774
380	2458	767
381	2464	761
382	2469	754
383	2475	747
384	2481	741
385	2487	734
386	2493	727
387	2498	721
388	2504	714
389	2509	707
390	2515	701
391	2520	694
392	2526	687
393	2532	681
394	2537	674
395	2543	667
396	2548	661
397	2554	654
398	2560	648
399	2563	640
400	2569	634
401	2574	627
402	2580	621
403	2585	614
404	2591	607
405	2597	601
406	2603	594
407	2608	588
